id,summary,status,owner,type,component,version
15776,Delete Regression in Django 1.3,closed,lukeplant,Bug,"Database layer (models, ORM)",1.3
15775,Can't enter scientific notation in decimal fields,closed,brunogola,Bug,Forms,1.2
15774,UnicodeDecodeError with makemessages,closed,nobody,Bug,Internationalization,1.3
15772,geodjango mysql connection wrapper not working,closed,ramiro,Bug,GIS,master
15771,"""from django.contrib.auth.admin import UserAdmin"" breaks backwards relations for User",closed,nobody,Bug,contrib.auth,1.3
15767,DecimalField is not aware of locale (in admin),closed,nobody,Bug,Forms,1.3
15766,select_related() changes type of DecimalField,closed,nobody,Bug,"Database layer (models, ORM)",1.3
15765,Serving static files in development doesn't work with staticfiles activated,closed,nobody,Bug,contrib.staticfiles,1.3
15764,DeleteView does not have ModelFormMixin in its mixins,closed,nobody,Bug,Documentation,1.3
15762,WSGIRequest should wrap the test client wsgi.input in LimitedStream,closed,nobody,Bug,Testing framework,1.3
15759,list_editable should respect per-object permissions,new,nobody,Bug,contrib.admin,1.3
15758,"en_format is removed, but DEFAULT_ constants is still there",closed,nobody,Bug,Forms,master
15757,"get_and_delete_messages, removed in [15975], is still alive",closed,nobody,Bug,contrib.auth,master
15756,Template regression with property lookups,closed,nobody,Bug,Template system,1.3
15753,test_simple_sitemap fails after executing test_requestsite_sitemap when Sites app and FetchFromCacheMiddleware are installed.,closed,nobody,Bug,contrib.sitemaps,master
15752,test_simple_sitemap fails after executing test_requestsite_sitemap when Sites app is installed,closed,nobody,Bug,contrib.sitemaps,1.3
15751,test_requestsite_sitemap in SitemapTests is setting Site._meta.installed to False permanently,closed,nobody,Bug,contrib.sitemaps,1.3
15750,smtp.EmailBackend won't use empty username/password,closed,bedmondmark,Bug,Core (Mail),1.3-beta
15749,Unable to set custom formatter class in LOGGING setting (dictConfig format),closed,nobody,Bug,Uncategorized,1.3
15748,QuerySet subscripting won't work as expected,closed,nobody,Bug,"Database layer (models, ORM)",1.2
15746,"Docs on ModelAdmin.list_filter should note, that spanning relations is as of version 1.3",closed,nobody,Bug,Documentation,1.3
15745,Description of DEBUG setting in email is misleading if DEBUG == False.,closed,jMyles,Bug,User Experience,1.3
15742,Bug: Mark all does not contain full queryset when using intermidiate pages in Django admin,new,nobody,Bug,Documentation,1.3
15740,Manipulating the test client session doesn't work as documented,closed,,Bug,Testing framework,1.3
15739,Class-based redirect view only redirects GET requests,closed,nobody,Bug,Generic views,1.3
15737,Importing hotshot.stats fails,closed,nobody,Bug,Core (Other),1.3
15735,Conflict with an app name of 'auth' even when not using Django auth,closed,mattrobenolt,Bug,Core (Other),1.3
15729,Cache middleware issues after restart when using mod_wsgi with PyLibMC,closed,nobody,Bug,Core (Cache system),1.3
15728,1.3 release notes should mention snafu regarding model form help_text formatting,closed,nobody,Bug,Documentation,1.3
15722,Conditional Formset Rendering/Validation,closed,nobody,Bug,Forms,1.3
